id, ime pesmi, billboard, id-izvajalec, popularnost, vrsta projekta
3e9HZxeyfWwjeyPAMmWSSQ, thank u. next, ('Thank U, Next', 'Ariana Grande'), {'66CXWjxzNUsdJxJ2JdwvnR': 'Ariana Grande'}, 86, samostojen projekt
07FkzikE6FuHIa8Ma7zJGc, Lie, ('Lie', 'NF'), {'6fOMl44jA4Sp5b9PpYCkzz': 'NF'}, 76, samostojen projekt
5itzep0nGnq7hxCfFNsTIR, difference (interlude), ('Difference (Interlude)', 'XXXTENTACION'), {'15UsOTVnJzReFVN1VCnxy4': 'XXXTENTACION'}, 63, samostojen projekt
39RWYLt6hgk9BbhkDgaHW9, Crush A Lot, ('Crush A Lot', 'Lil Baby'), {'5f7VJjfbwm532GiveGC0ZK': 'Lil Baby'}, 59, samostojen projekt
7cW1wHpSLYgKWzoWlOCPFJ, Global, ('Global', 'Lil Baby'), {'5f7VJjfbwm532GiveGC0ZK': 'Lil Baby'}, 60, samostojen projekt
52i143Ph5c3RQaQFBXWix1, Word On The Street, ('Word On The Street', 'Lil Baby'), {'5f7VJjfbwm532GiveGC0ZK': 'Lil Baby'}, 58, samostojen projekt
2G7V7zsVDxg1yRsu7Ew9RJ, In My Feelings, ('In My Feelings', 'Drake'), {'3TVXtAsR1Inumwj472S9r4': 'Drake'}, 82, samostojen projekt
0TlLq3lA83rQOYtrqBqSct, Nonstop, ('Nonstop', 'Drake'), {'3TVXtAsR1Inumwj472S9r4': 'Drake'}, 81, samostojen projekt
7wC5eZcFS1Q1BsQ35DU6H4, come out and play, ('Come Out And Play', 'Billie Eilish'), {'6qqNVTkY8uBg9cP3Jd7DAH': 'Billie Eilish'}, 75, samostojen projekt
7hDVYcQq6MxkdJGweuCtl9, ocean eyes, ('Ocean Eyes', 'Billie Eilish'), {'6qqNVTkY8uBg9cP3Jd7DAH': 'Billie Eilish'}, 82, samostojen projekt
3ee8Jmje8o58CHK66QrVC2, SAD!, ('Sad!', 'XXXTENTACION'), {'15UsOTVnJzReFVN1VCnxy4': 'XXXTENTACION'}, 84, samostojen projekt
3z8h0TU7ReDPLIbEnYhWZb, Bohemian Rhapsody, ('Bohemian Rhapsody', 'Queen'), {'1dfeR4HaWDbWqFHLkxsg1d': 'Queen'}, 72, samostojen projekt
2RSHsoi04658QL5xgQVov3, Bad Liar, ('Bad Liar', 'Imagine Dragons'), {'53XhwfbYqKCa1cC15pYq2q': 'Imagine Dragons'}, 82, samostojen projekt
6NFyWDv5CjfwuzoCkw47Xf, Delicate, ('Delicate', 'Taylor Swift'), {'06HL4z0CvFAxyc27GXpf02': 'Taylor Swift'}, 74, samostojen projekt
1jo3TwNGCXfNdB5uba3ZVv, Killshot, ('Killshot', 'Eminem'), {'7dGJo4pcD2V6oG8kP0tJRR': 'Eminem'}, 76, samostojen projekt
2qT1uLXPVPzGgFOx4jtEuo, no tears left to cry, ('No Tears Left To Cry', 'Ariana Grande'), {'66CXWjxzNUsdJxJ2JdwvnR': 'Ariana Grande'}, 82, samostojen projekt
2vs5ubqg8QUbfyWZpMfvWe, Astronauts, ('Astronauts', 'Future & Juice WRLD'), {'1RyvyyTE3xzB2ZywiAwp0i': 'Future', '4MCBfE4596Uoi2O4DtmEMz': 'Juice WRLD'}, 61, sodelovanje na projektu
7stcuQtnHL7C6XdPvpwywv, Vertigo, ('Vertigo', 'Khalid'), {'6LuN9FCkKOj5PcnpouEgny': 'Khalid'}, 67, samostojen projekt
2EhJijFUs0WUmNClDBpYJq, Make It Back, ('Make It Back', 'Juice WRLD'), {'4MCBfE4596Uoi2O4DtmEMz': 'Juice WRLD'}, 62, samostojen projekt
0Y7di9ZCmB6Elad5WISaPc, Dedicate, ('Dedicate', 'Lil Wayne'), {'55Aa2cqylxrFIXC767Z865': 'Lil Wayne'}, 62, samostojen projekt
5cGpjfgAvidLy6znwkCxkP, Can't Be Broken, ("Can't Be Broken", 'Lil Wayne'), {'55Aa2cqylxrFIXC767Z865': 'Lil Wayne'}, 62, samostojen projekt
